Nom du site,Geo Point,Geo Shape,Nom de l'arrêt
Stade des Iscles,"43.7029361417836, 7.18093773968559","{""coordinates"": [7.18093773968559, 43.7029361417836], ""type"": ""Point""}",Stade de Nice (NIC) - TA
Stade du Parc,"48.8715292475496, 2.15909192383165","{""coordinates"": [2.15909192383165, 48.8715292475496], ""type"": ""Point""}",Stade du Parc (PRM) - TF
Stade du Parc,"48.8710310282045, 2.15980217288712","{""coordinates"": [2.15980217288712, 48.8710310282045], ""type"": ""Point""}",Stade du Parc (PRM) - TF
Stade du Parc,"48.8711044221863, 2.15996954160096","{""coordinates"": [2.15996954160096, 48.8711044221863], ""type"": ""Point""}",Stade du Parc (PRM) - TF
Stade du Parc,"48.8717779497701, 2.16136075170169","{""coordinates"": [2.16136075170169, 48.8717779497701], ""type"": ""Point""}",Stade du Parc (PRM) - TX
Stade Geoffroy-Guichard,"45.4580107873231, 4.38636182917846","{""coordinates"": [4.38636182917846, 45.4580107873231], ""type"": ""Point""}",
Stade Geoffroy-Guichard,"45.4612119855877, 4.38765593535676","{""coordinates"": [4.38765593535676, 45.4612119855877], ""type"": ""Point""}",Stade Geoffroy-Guichard (STE) - ENG
Stade Geoffroy-Guichard,"45.45974568392, 4.38806830339469","{""coordinates"": [4.38806830339469, 45.45974568392], ""type"": ""Point""}",Stade Geoffroy-Guichard (STE) - PFR-PARKING
Stade Geoffroy-Guichard,"45.4426251938765, 4.39985917310859","{""coordinates"": [4.39985917310859, 45.4426251938765], ""type"": ""Point""}",TX Hôtel
Stade Geoffroy-Guichard,"45.4597111488134, 4.38808067319616","{""coordinates"": [4.38808067319616, 45.4597111488134], ""type"": ""Point""}",Stade Geoffroy-Guichard (STE) - PSH-DEPOSE-MIN
Stade Geoffroy-Guichard,"45.4611585183574, 4.38765777241152","{""coordinates"": [4.38765777241152, 45.4611585183574], ""type"": ""Point""}",Stade Geoffroy-Guichard (STE) - PHP
Stade Geoffroy-Guichard,"45.4600832062931, 4.38736516507233","{""coordinates"": [4.38736516507233, 45.4600832062931], ""type"": ""Point""}",Stade Geoffroy-Guichard (STE) - TC
Stade Geoffroy-Guichard,"45.4586389060859, 4.38883984573096","{""coordinates"": [4.38883984573096, 45.4586389060859], ""type"": ""Point""}",Stade Geoffroy-Guichard (STE) - DDS
Stade Geoffroy-Guichard,"45.4609425866968, 4.38819873607898","{""coordinates"": [4.38819873607898, 45.4609425866968], ""type"": ""Point""}",Stade Geoffroy-Guichard (STE) - P2LZ
Stade Geoffroy-Guichard,"45.4598821094684, 4.38523887712529","{""coordinates"": [4.38523887712529, 45.4598821094684], ""type"": ""Point""}",
Stade Geoffroy-Guichard,"45.459658699643, 4.38545194934989","{""coordinates"": [4.38545194934989, 45.459658699643], ""type"": ""Point""}",Stade Geoffroy-Guichard (STE) - CIR P
Stade Geoffroy-Guichard,"45.4609295397503, 4.38881969112925","{""coordinates"": [4.38881969112925, 45.4609295397503], ""type"": ""Point""}",Stade Geoffroy-Guichard (STE) - TF
Stade Geoffroy-Guichard,"45.4596218350446, 4.38808490336282","{""coordinates"": [4.38808490336282, 45.4596218350446], ""type"": ""Point""}",Stade Geoffroy-Guichard (STE) - PSH-TAXI
Stade Geoffroy-Guichard,"45.4609015379825, 4.38881468571649","{""coordinates"": [4.38881468571649, 45.4609015379825], ""type"": ""Point""}",Stade Geoffroy-Guichard (STE) - PRT
Stade Geoffroy-Guichard,"45.4610936209335, 4.38739726906397","{""coordinates"": [4.38739726906397, 45.4610936209335], ""type"": ""Point""}",Stade Geoffroy-Guichard (STE) - CIR W
Stade Geoffroy-Guichard,"45.4597767552143, 4.38533186157166","{""coordinates"": [4.38533186157166, 45.4597767552143], ""type"": ""Point""}",
Stade Geoffroy-Guichard,"45.46087638981, 4.38881951236449","{""coordinates"": [4.38881951236449, 45.46087638981], ""type"": ""Point""}",Stade Geoffroy-Guichard (STE) - TA
Stade Geoffroy-Guichard,"45.4609812240892, 4.38820089023906","{""coordinates"": [4.38820089023906, 45.4609812240892], ""type"": ""Point""}",Stade Geoffroy-Guichard (STE) - TX
Stade Geoffroy-Guichard,"45.459854990764, 4.38807386127133","{""coordinates"": [4.38807386127133, 45.459854990764], ""type"": ""Point""}",Stade Geoffroy-Guichard (STE) - PFR-navettes
Stade Geoffroy-Guichard,"45.4611105018317, 4.3876594926853","{""coordinates"": [4.3876594926853, 45.4611105018317], ""type"": ""Point""}",
Stade Jean Jahan,"47.2712454762175, -1.51770648514508","{""coordinates"": [-1.51770648514508, 47.2712454762175], ""type"": ""Point""}",Stade Jean Jahan (JJA) - TA
Stade Jean Jahan,"47.2724024298979, -1.51677826494515","{""coordinates"": [-1.51677826494515, 47.2724024298979], ""type"": ""Point""}",Stade Jean Jahan (JJA) - TX
Stade Jean Jahan,"47.2723769507737, -1.51675144304741","{""coordinates"": [-1.51675144304741, 47.2723769507737], ""type"": ""Point""}",Stade Jean Jahan (JJA) - P2LZ
Stade La Martine,"43.3744086942259, 5.36281358498696","{""coordinates"": [5.36281358498696, 43.3744086942259], ""type"": ""Point""}",Stade La Martine (LMA) - TX
Stade La Martine,"43.3744606861874, 5.36290299071395","{""coordinates"": [5.36290299071395, 43.3744606861874], ""type"": ""Point""}",Stade La Martine (LMA) - P2LZ
Stade La Martine,"43.3750676725849, 5.36238800722281","{""coordinates"": [5.36238800722281, 43.3750676725849], ""type"": ""Point""}",Stade La Martine (LMA) - TA
Stade Louis Boury,"48.9240246870843, 2.30253861541636","{""coordinates"": [2.30253861541636, 48.9240246870843], ""type"": ""Point""}",Stade Louis Boury (SLB) - TA
Stade Louis Boury,"48.9243345778425, 2.30389118807843","{""coordinates"": [2.30389118807843, 48.9243345778425], ""type"": ""Point""}",Stade Louis Boury (SLB) - TX
Stade Marcel Saupin,"47.2132937927146, -1.53979519200564","{""coordinates"": [-1.53979519200564, 47.2132937927146], ""type"": ""Point""}",Venue_code_1 is unknown ( ) - TX
Stade Marcel Saupin,"47.2132707137418, -1.53985419874342","{""coordinates"": [-1.53985419874342, 47.2132707137418], ""type"": ""Point""}",Stade Marcel Saupin (MSA) - P2LZ
Stade Marcel Saupin,"47.2133763856019, -1.53930255859879","{""coordinates"": [-1.53930255859879, 47.2133763856019], ""type"": ""Point""}",Stade Marcel Saupin (MSA) - TA
Stade Michon,"45.43698933572, 4.36508265028248","{""coordinates"": [4.36508265028248, 45.43698933572], ""type"": ""Point""}",Stade Michon (MIC) - P2LZ
Stade Michon,"45.4370933212126, 4.36481890042349","{""coordinates"": [4.36481890042349, 45.4370933212126], ""type"": ""Point""}",Stade Michon (MIC) - TA
Stade Nautique de Vaires-sur-M.,"48.8654203960044, 2.64332943856566","{""coordinates"": [2.64332943856566, 48.8654203960044], ""type"": ""Point""}",Stade Nautique de Vaires-sur-Marne (VNS) - PMR-Parking
Stade Nautique de Vaires-sur-M.,"48.8654203960044, 2.64332943856566","{""coordinates"": [2.64332943856566, 48.8654203960044], ""type"": ""Point""}",Stade Nautique de Vaires-sur-Marne (VNS) - PFR-PARKING
Stade Nautique de Vaires-sur-Marne,"48.8643348021439, 2.64002595168932","{""coordinates"": [2.64002595168932, 48.8643348021439], ""type"": ""Point""}",Stade Nautique de Vaires-sur-Marne (VNS) - CIR W
Stade Nautique de Vaires-sur-Marne,"48.8621076666964, 2.64943731811991","{""coordinates"": [2.64943731811991, 48.8621076666964], ""type"": ""Point""}",
Stade Nautique de Vaires-sur-Marne,"48.8641270584975, 2.64042024447561","{""coordinates"": [2.64042024447561, 48.8641270584975], ""type"": ""Point""}",
Stade Nautique de Vaires-sur-Marne,"48.8643408658612, 2.64009240067161","{""coordinates"": [2.64009240067161, 48.8643408658612], ""type"": ""Point""}",
Stade Nautique de Vaires-sur-Marne,"48.8686141362006, 2.62175726029854","{""coordinates"": [2.62175726029854, 48.8686141362006], ""type"": ""Point""}",Stade Nautique de Vaires-sur-Marne (VNS) - TS
Stade Nautique de Vaires-sur-Marne,"48.8644064005321, 2.64043469146298","{""coordinates"": [2.64043469146298, 48.8644064005321], ""type"": ""Point""}",Stade Nautique de Vaires-sur-Marne (VNS) - PHP
Stade Nautique de Vaires-sur-Marne,"48.8643232459889, 2.63991747369659","{""coordinates"": [2.63991747369659, 48.8643232459889], ""type"": ""Point""}",Stade Nautique de Vaires-sur-Marne (VNS) - TX
Stade Nautique de Vaires-sur-Marne,"48.8641146817917, 2.64008630374535","{""coordinates"": [2.64008630374535, 48.8641146817917], ""type"": ""Point""}",Vaires-sur-Marne Nautical Stadium - CIR VL (VNS ) - CIR W
Stade Nautique de Vaires-sur-Marne,"48.8644271429249, 2.64310704085415","{""coordinates"": [2.64310704085415, 48.8644271429249], ""type"": ""Point""}",Stade Nautique de Vaires-sur-Marne (VNS) - TS
Stade Nautique de Vaires-sur-Marne,"48.8643548654181, 2.64024302324892","{""coordinates"": [2.64024302324892, 48.8643548654181], ""type"": ""Point""}",Stade Nautique de Vaires-sur-Marne (VNS) - DDS
Stade Nautique de Vaires-sur-Marne,"48.8644271429249, 2.64310704085415","{""coordinates"": [2.64310704085415, 48.8644271429249], ""type"": ""Point""}",Stade Nautique de Vaires-sur-Marne (VNS) - TS
Stade Nautique de Vaires-sur-Marne,"48.8646056197003, 2.64048096643628","{""coordinates"": [2.64048096643628, 48.8646056197003], ""type"": ""Point""}",
Stade Nautique de Vaires-sur-Marne,"48.864114872678, 2.64016702674571","{""coordinates"": [2.64016702674571, 48.864114872678], ""type"": ""Point""}",
Stade Nautique de Vaires-sur-Marne,"48.8364065881256, 2.70943299642028","{""coordinates"": [2.70943299642028, 48.8364065881256], ""type"": ""Point""}",Stade Nautique de Vaires-sur-Marne (VNS) - TS
Stade Nautique de Vaires-sur-Marne,"48.866222000259, 2.64277500016894","{""coordinates"": [2.64277500016894, 48.866222000259], ""type"": ""Point""}",Stade Nautique de Vaires-sur-Marne (VNS) - TAXI
Stade Nautique de Vaires-sur-Marne,"48.8639168865623, 2.63801882048984","{""coordinates"": [2.63801882048984, 48.8639168865623], ""type"": ""Point""}",
Stade Nautique de Vaires-sur-Marne,"48.8654723052125, 2.64366775667809","{""coordinates"": [2.64366775667809, 48.8654723052125], ""type"": ""Point""}",Stade Nautique de Vaires-sur-Marne (VNS) - PMR TAXI
Stade Nautique de Vaires-sur-Marne,"48.8619120935051, 2.6495626902187","{""coordinates"": [2.6495626902187, 48.8619120935051], ""type"": ""Point""}",Stade Nautique de Vaires-sur-Marne (VNS) - TAXI
Stade Nautique de Vaires-sur-Marne,"48.8641347841331, 2.63807146356211","{""coordinates"": [2.63807146356211, 48.8641347841331], ""type"": ""Point""}",Stade Nautique de Vaires-sur-Marne (VNS) - TA
Stade Nautique de Vaires-sur-Marne,"48.8643716703799, 2.64079738691874","{""coordinates"": [2.64079738691874, 48.8643716703799], ""type"": ""Point""}",Stade Nautique de Vaires-sur-Marne (VNS) - CIR P
Stade Nautique de Vaires-sur-Marne,"48.8639331201328, 2.63786968937289","{""coordinates"": [2.63786968937289, 48.8639331201328], ""type"": ""Point""}",
Stade Nautique de Vaires-sur-Marne,"48.8641870123136, 2.64066074946286","{""coordinates"": [2.64066074946286, 48.8641870123136], ""type"": ""Point""}",
Stade Nautique de Vaires-sur-Marne,"48.8645922676228, 2.64027858246023","{""coordinates"": [2.64027858246023, 48.8645922676228], ""type"": ""Point""}",Stade Nautique de Vaires-sur-Marne (VNS) - TF
Stade Nautique de Vaires-sur-Marne,"48.8743706670896, 2.58458205072372","{""coordinates"": [2.58458205072372, 48.8743706670896], ""type"": ""Point""}",Stade Nautique de Vaires-sur-Marne (VNS) - TS
Stade Nautique de Vaires-sur-Marne,"48.8758454908004, 2.64156582101375","{""coordinates"": [2.64156582101375, 48.8758454908004], ""type"": ""Point""}",
Stade Nautique de Vaires-sur-Marne,"48.8642187851279, 2.64081765299708","{""coordinates"": [2.64081765299708, 48.8642187851279], ""type"": ""Point""}",
Stade Nautique de Vaires-sur-Marne,"48.8641417115373, 2.6404094935341","{""coordinates"": [2.6404094935341, 48.8641417115373], ""type"": ""Point""}",
Stade Nautique de Vaires-sur-Marne,"48.8643361666433, 2.64045727923428","{""coordinates"": [2.64045727923428, 48.8643361666433], ""type"": ""Point""}",Stade Nautique de Vaires-sur-Marne (VNS) - ENG
Stade Nautique de Vaires-sur-Marne,"48.8640772287402, 2.63997431003122","{""coordinates"": [2.63997431003122, 48.8640772287402], ""type"": ""Point""}",Stade Nautique de Vaires-sur-Marne (VNS) - P2LZ
Stade Nautique de Vaires-sur-Marne,"48.8643476912256, 2.64015760879467","{""coordinates"": [2.64015760879467, 48.8643476912256], ""type"": ""Point""}",Stade Nautique - Vaires
Stade Nautique de Vaires-sur-Marne,"48.8647197931186, 2.64390197711707","{""coordinates"": [2.64390197711707, 48.8647197931186], ""type"": ""Point""}",Stade Nautique de Vaires-sur-Marne (VNS) - PFR-navettes
Stade Nautique de Vaires-sur-Marne,"48.864152622072, 2.6379329900577","{""coordinates"": [2.6379329900577, 48.864152622072], ""type"": ""Point""}",
Stade Nautique de Vaires-sur-Marne,"48.8641318210457, 2.64028718664022","{""coordinates"": [2.64028718664022, 48.8641318210457], ""type"": ""Point""}",
Stade nautique Maurice Thorez,"48.8564761270638, 2.43321884756921","{""coordinates"": [2.43321884756921, 48.8564761270638], ""type"": ""Point""}",Stade nautique Maurice Thorez (MTH) - TA
Stade nautique Maurice Thorez,"48.8564493882132, 2.43293282488104","{""coordinates"": [2.43293282488104, 48.8564493882132], ""type"": ""Point""}",Stade nautique Maurice Thorez (MTH) - P2LZ
Stade nautique Maurice Thorez,"48.8564717421061, 2.43294176581309","{""coordinates"": [2.43294176581309, 48.8564717421061], ""type"": ""Point""}",Stade nautique Maurice Thorez (MTH) - TX
Stade Omnisports du Chemin de Ronde,"48.8785314293028, 2.12396722071274","{""coordinates"": [2.12396722071274, 48.8785314293028], ""type"": ""Point""}",Stade Omnisports du Chemin de la Ronde
Stade Pierre de Coubertin,"48.8351477180573, 2.25523163384045","{""coordinates"": [2.25523163384045, 48.8351477180573], ""type"": ""Point""}",Stade Pierre de Coubertin (PDC) - TX
Stade Pierre de Coubertin,"48.8358113577603, 2.25580467365177","{""coordinates"": [2.25580467365177, 48.8358113577603], ""type"": ""Point""}",Stade Pierre de Coubertin (PDC) - TA
Stade Pierre de Coubertin,"48.8357645472227, 2.25573323962035","{""coordinates"": [2.25573323962035, 48.8357645472227], ""type"": ""Point""}",Stade Pierre de Coubertin (PDC) - TA
Stade Pierre Mauroy,"50.6116171468913, 3.1285109626197","{""coordinates"": [3.1285109626197, 50.6116171468913], ""type"": ""Point""}",Stade Pierre Mauroy (LIL) - P2LZ
Stade Pierre Mauroy,"50.609303521993, 3.12643243532543","{""coordinates"": [3.12643243532543, 50.609303521993], ""type"": ""Point""}",
Stade Pierre Mauroy,"50.6116634301541, 3.12850648541633","{""coordinates"": [3.12850648541633, 50.6116634301541], ""type"": ""Point""}",Stade Pierre Mauroy (LIL) - ENG
Stade Pierre Mauroy,"50.6069958891213, 3.12726895280619","{""coordinates"": [3.12726895280619, 50.6069958891213], ""type"": ""Point""}",Stade Pierre Mauroy (LIL) - CIR P
Stade Pierre Mauroy,"50.6092933142218, 3.12641806497583","{""coordinates"": [3.12641806497583, 50.6092933142218], ""type"": ""Point""}",Stade Pierre Mauroy (LIL) - TF
Stade Pierre Mauroy,"50.6599353380576, 3.08243269668938","{""coordinates"": [3.08243269668938, 50.6599353380576], ""type"": ""Point""}",Venue_code_1 is unknown ( ) - TA
Stade Pierre Mauroy,"50.6116866230726, 3.12850272506855","{""coordinates"": [3.12850272506855, 50.6116866230726], ""type"": ""Point""}",Stade Pierre Mauroy (LIL) - CIR W
Stade Pierre Mauroy,"50.6098085707405, 3.1273979562709","{""coordinates"": [3.1273979562709, 50.6098085707405], ""type"": ""Point""}",Stade Pierre Mauroy (LIL) - DDS
Stade Pierre Mauroy,"50.6089875874268, 3.12597059257322","{""coordinates"": [3.12597059257322, 50.6089875874268], ""type"": ""Point""}",Venue_code_1 is unknown ( ) - TC
Stade Pierre Mauroy,"50.6116495232903, 3.12850508494279","{""coordinates"": [3.12850508494279, 50.6116495232903], ""type"": ""Point""}",Stade Pierre Mauroy (LIL) - PHP
Stade Pierre Mauroy,"50.6187732501976, 3.13124048193241","{""coordinates"": [3.13124048193241, 50.6187732501976], ""type"": ""Point""}",Stade Pierre Mauroy (LIL) - TC
Stade Pierre Mauroy,"50.6115108312277, 3.12850990709924","{""coordinates"": [3.12850990709924, 50.6115108312277], ""type"": ""Point""}",Stade Pierre Mauroy (LIL) - TX
Stade Pierre Mauroy,"50.6391448646886, 3.14880237146378","{""coordinates"": [3.14880237146378, 50.6391448646886], ""type"": ""Point""}",Stade Pierre Mauroy (LIL) - TC
Stade Pierre Mauroy,"50.6092577380753, 3.12638471681751","{""coordinates"": [3.12638471681751, 50.6092577380753], ""type"": ""Point""}",
Stade Pierre Mauroy,"50.6323298577351, 3.04667223936399","{""coordinates"": [3.04667223936399, 50.6323298577351], ""type"": ""Point""}",Stade Pierre Mauroy (LIL) - TC
Stade Pierre Mauroy,"50.6099708104673, 3.13015394354513","{""coordinates"": [3.13015394354513, 50.6099708104673], ""type"": ""Point""}",
Stade Pierre Mauroy,"50.6109475662029, 3.13098591285562","{""coordinates"": [3.13098591285562, 50.6109475662029], ""type"": ""Point""}",Stade Pierre Mauroy (LIL) - TA
Stade Roger Couderc,"43.343920260901, 5.37807831614851","{""coordinates"": [5.37807831614851, 43.343920260901], ""type"": ""Point""}",Stade Roger Couderc (RCO) - TA
Stade Roger Couderc,"43.3437134940271, 5.37804613041021","{""coordinates"": [5.37804613041021, 43.3437134940271], ""type"": ""Point""}",Stade Roger Couderc (RCO) - P2LZ
Stade Roland-Garros,"48.8479938812496, 2.24665072395229","{""coordinates"": [2.24665072395229, 48.8479938812496], ""type"": ""Point""}",Stade Roland-Garros (RGA) - PRT
Stade Roland-Garros,"48.8479934068439, 2.24657538685398","{""coordinates"": [2.24657538685398, 48.8479934068439], ""type"": ""Point""}",Stade Roland-Garros (RGA) - TX
Stade Roland-Garros,"48.8465729997651, 2.24654299995334","{""coordinates"": [2.24654299995334, 48.8465729997651], ""type"": ""Point""}",Stade Roland-Garros (RGA) - PSH-TAXI
Stade Roland-Garros,"48.8457365091356, 2.24987261902867","{""coordinates"": [2.24987261902867, 48.8457365091356], ""type"": ""Point""}",Stade Roland-Garros (RGA) - DDS
Stade Roland-Garros,"48.8458906070986, 2.24930451725646","{""coordinates"": [2.24930451725646, 48.8458906070986], ""type"": ""Point""}",Stade Roland-Garros (RGA) - PHP
Stade Roland-Garros,"48.8457788730283, 2.24966340589056","{""coordinates"": [2.24966340589056, 48.8457788730283], ""type"": ""Point""}",Stade Roland-Garros (RGA) - DDS
Stade Roland-Garros,"48.8454497631483, 2.25348315207311","{""coordinates"": [2.25348315207311, 48.8454497631483], ""type"": ""Point""}",Stade Roland-Garros (RGA) - PFR-PARKING
Stade Roland-Garros,"48.8478026448972, 2.25968219857506","{""coordinates"": [2.25968219857506, 48.8478026448972], ""type"": ""Point""}",Stade Roland-Garros (RGA) - TAXI
Stade Roland-Garros,"48.8479909356433, 2.2465262852211","{""coordinates"": [2.2465262852211, 48.8479909356433], ""type"": ""Point""}",Stade Roland-Garros (RGA) - P2LZ
Stade Roland-Garros,"48.8454306989506, 2.25354001543061","{""coordinates"": [2.25354001543061, 48.8454306989506], ""type"": ""Point""}",Stade Roland-Garros (RGA) - PMR-Parking
Stade Roland-Garros,"48.8457647517347, 2.24977605911876","{""coordinates"": [2.24977605911876, 48.8457647517347], ""type"": ""Point""}",Stade Roland-Garros (RGA) - DDS
Stade Roland-Garros,"48.8456694348202, 2.25009792458675","{""coordinates"": [2.25009792458675, 48.8456694348202], ""type"": ""Point""}",Stade Roland-Garros (RGA) - DDS
Stade Roland-Garros,"48.8458588748962, 2.24940720277827","{""coordinates"": [2.24940720277827, 48.8458588748962], ""type"": ""Point""}",Stade Roland-Garros (RGA) - PHP
Stade Roland-Garros,"48.8489870269714, 2.24207324091604","{""coordinates"": [2.24207324091604, 48.8489870269714], ""type"": ""Point""}",Stade Roland-Garros (RGA) - TS
Stade Roland-Garros,"48.8479820812408, 2.2499558632111","{""coordinates"": [2.2499558632111, 48.8479820812408], ""type"": ""Point""}",Stade Roland-Garros (RGA) - TA
Stade Roland-Garros,"48.8465281838142, 2.2468451680621","{""coordinates"": [2.2468451680621, 48.8465281838142], ""type"": ""Point""}",Stade Roland-Garros (RGA) - PMR-TAXI
Stade Roland-Garros,"48.8447519164418, 2.25270432709483","{""coordinates"": [2.25270432709483, 48.8447519164418], ""type"": ""Point""}",Stade Roland-Garros
Stade Roland-Garros,"48.8472452531313, 2.24407679032514","{""coordinates"": [2.24407679032514, 48.8472452531313], ""type"": ""Point""}",Stade Roland-Garros (RGA) - CIR W
Stade Roland-Garros,"48.8463776087832, 2.24741776680061","{""coordinates"": [2.24741776680061, 48.8463776087832], ""type"": ""Point""}",Stade Roland-Garros (RGA) - PFR-navettes
Stade Roland-Garros,"48.8456376622781, 2.25022130729272","{""coordinates"": [2.25022130729272, 48.8456376622781], ""type"": ""Point""}",Stade Roland-Garros (RGA) - DDS
Stade Roland-Garros,"48.8479915544643, 2.24662455099654","{""coordinates"": [2.24662455099654, 48.8479915544643], ""type"": ""Point""}",Stade Roland-Garros (RGA) - TF
Stade Roland-Garros,"48.8459387708173, 2.249114848764","{""coordinates"": [2.249114848764, 48.8459387708173], ""type"": ""Point""}",Stade Roland-Garros (RGA) - ENG
Stade Roland-Garros,"48.8472084567827, 2.24418437436023","{""coordinates"": [2.24418437436023, 48.8472084567827], ""type"": ""Point""}",Stade Roland-Garros (RGA) - CIR W
Stade Roland-Garros,"48.8506963347868, 2.24985471287336","{""coordinates"": [2.24985471287336, 48.8506963347868], ""type"": ""Point""}",
Stade Roland-Garros,"48.8509566651843, 2.24941885390838","{""coordinates"": [2.24941885390838, 48.8509566651843], ""type"": ""Point""}",
Stade Roland-Garros,"48.8457031339701, 2.24998079774843","{""coordinates"": [2.24998079774843, 48.8457031339701], ""type"": ""Point""}",Stade Roland-Garros (RGA) - DDS
Stade Roland-Garros,"48.8479815657627, 2.24987474713759","{""coordinates"": [2.24987474713759, 48.8479815657627], ""type"": ""Point""}",Stade Roland-Garros (RGA) - TA
Stade Roland-Garros,"48.8459164967584, 2.24921868682432","{""coordinates"": [2.24921868682432, 48.8459164967584], ""type"": ""Point""}",Stade Roland-Garros (RGA) - PHP
Stade Roland-Garros - Parc des Princes,"48.8447579181282, 2.25267121070187","{""coordinates"": [2.25267121070187, 48.8447579181282], ""type"": ""Point""}",Roland-Garros - Parc des princes
Stade Roland-Garros - Parc des Princes,"48.8490356387457, 2.25775565185379","{""coordinates"": [2.25775565185379, 48.8490356387457], ""type"": ""Point""}",Stade Roland-Garros (RGA) PDP - TS
Stade Sainte-Germaine,"44.8714668730466, -0.617031837915595","{""coordinates"": [-0.617031837915595, 44.8714668730466], ""type"": ""Point""}",Stade Sainte-Germaine (SGE) - TX
Stade Sainte-Germaine,"44.8714700409085, -0.617103363575122","{""coordinates"": [-0.617103363575122, 44.8714700409085], ""type"": ""Point""}",Stade Sainte-Germaine (SGE) - P2LZ
Stade Sainte-Germaine,"44.8712413037736, -0.61771893053033","{""coordinates"": [-0.61771893053033, 44.8712413037736], ""type"": ""Point""}",Stade Sainte-Germaine (SGE) - TA
Stade Salif Keita,"45.4607820700437, 4.3865061097594","{""coordinates"": [4.3865061097594, 45.4607820700437], ""type"": ""Point""}",Stade Salif Keita (SKE) - TA
Stade Stehelin,"44.8538387831413, -0.621530349330185","{""coordinates"": [-0.621530349330185, 44.8538387831413], ""type"": ""Point""}",Stade Stéhelin (STH) - P2LZ
Stade Stehelin,"44.853855262212, -0.621558958875345","{""coordinates"": [-0.621558958875345, 44.853855262212], ""type"": ""Point""}",Stade Stéhelin (STH) - TX
Stade Stehelin,"44.8558536398283, -0.622080201827356","{""coordinates"": [-0.622080201827356, 44.8558536398283], ""type"": ""Point""}",Stade Stéhelin (STH) - TA
Stade Tour Eiffel,"48.8543405452842, 2.29611095457064","{""coordinates"": [2.29611095457064, 48.8543405452842], ""type"": ""Point""}",Stade Tour Eiffel (EIF) - CIR P
Stade Tour Eiffel,"48.8547788360157, 2.29570024601156","{""coordinates"": [2.29570024601156, 48.8547788360157], ""type"": ""Point""}",Stade Tour Eiffel (EIF) - PSH-DEPOSE-MIN
Stade Tour Eiffel,"48.8542901942516, 2.28929383690101","{""coordinates"": [2.28929383690101, 48.8542901942516], ""type"": ""Point""}",Stade Tour Eiffel (EIF) ECM - PSH-TAXI
Stade Yves du Manoir,"48.9258829999974, 2.24723500006448","{""coordinates"": [2.24723500006448, 48.9258829999974], ""type"": ""Point""}",Stade Yves-du-Manoir (YDM) - PSH-TAXI
Stade Yves-du-Manoir,"48.9303175488218, 2.24205734706865","{""coordinates"": [2.24205734706865, 48.9303175488218], ""type"": ""Point""}",Stade Yves-du-Manoir (YDM) - CIR P
Stade Yves-du-Manoir,"48.9258242507999, 2.24737156644555","{""coordinates"": [2.24737156644555, 48.9258242507999], ""type"": ""Point""}",Stade Yves-du-Manoir (YDM) - TAXI
Stade Yves-du-Manoir,"48.9310200321223, 2.24746540715508","{""coordinates"": [2.24746540715508, 48.9310200321223], ""type"": ""Point""}",Stade Yves-du-Manoir (YDM) - TA
Stade Yves-du-Manoir,"48.925603097701, 2.24734678821508","{""coordinates"": [2.24734678821508, 48.925603097701], ""type"": ""Point""}",Stade Yves-du-Manoir (YDM) - PMR-dépose-min
Stade Yves-du-Manoir,"48.9303468987299, 2.24211831029219","{""coordinates"": [2.24211831029219, 48.9303468987299], ""type"": ""Point""}",Stade Yves-du-Manoir (YDM) - WORKFORCE
Stade Yves-du-Manoir,"48.9293655788884, 2.24633026991092","{""coordinates"": [2.24633026991092, 48.9293655788884], ""type"": ""Point""}",Stade Yves-du-Manoir (YDM) - PFR-navettes
Stade Yves-du-Manoir,"48.9302130694667, 2.24561977887799","{""coordinates"": [2.24561977887799, 48.9302130694667], ""type"": ""Point""}",Stade Yves-du-Manoir (YDM) - DDS
Stade Yves-du-Manoir,"48.9289631992106, 2.24659117390708","{""coordinates"": [2.24659117390708, 48.9289631992106], ""type"": ""Point""}",Stade Yves-du-Manoir
Stade Yves-du-Manoir,"48.9299248758542, 2.24597870883458","{""coordinates"": [2.24597870883458, 48.9299248758542], ""type"": ""Point""}",Stade Yves-du-Manoir (YDM) - ENG
Stade Yves-du-Manoir,"48.928440980466, 2.24677247099942","{""coordinates"": [2.24677247099942, 48.928440980466], ""type"": ""Point""}",Stade Yves-du-Manoir (YDM) - CIR W
Stade Yves-du-Manoir,"48.9286900287851, 2.24669450711423","{""coordinates"": [2.24669450711423, 48.9286900287851], ""type"": ""Point""}",Stade Yves-du-Manoir (YDM) - TF
Stade Yves-du-Manoir,"48.9300623230723, 2.24586817652876","{""coordinates"": [2.24586817652876, 48.9300623230723], ""type"": ""Point""}",Stade Yves-du-Manoir (YDM) - PHP
Stade Yves-du-Manoir,"48.9257521972527, 2.24785538109127","{""coordinates"": [2.24785538109127, 48.9257521972527], ""type"": ""Point""}",Stade Yves-du-Manoir (YDM) - PFR-PARKING
Stade Yves-du-Manoir,"48.9294975194812, 2.24634552779602","{""coordinates"": [2.24634552779602, 48.9294975194812], ""type"": ""Point""}",Stade Yves-du-Manoir (YDM) - TX
Stade Yves-du-Manoir,"48.9292111489514, 2.24647863925649","{""coordinates"": [2.24647863925649, 48.9292111489514], ""type"": ""Point""}",Stade Yves-du-Manoir (YDM) - P2LZ
